"last_name, first_name","player_id","year","ab","pa","home_run","k_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_hit_by_pitch","woba","avg_swing_speed","avg_swing_length","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","whiff_percent"
"Villar, David",681584,2023,124,140,5,32.1,".145",".315",".236","0.551","0.170",".173","4",".244","69.5","7.4","87.7","19",38.8,13.8,5,38.5
"Busch, Michael",683737,2024,496,567,21,28.6,".248",".440",".335","0.775","0.192",".322","4",".336","70.3","7.3","89.9","17.2",36.4,11.2,6.5,28.4
"Springer III, George",543807,2023,613,683,21,18.3,".258",".405",".327","0.732","0.147",".291","5",".320","72.7","7.5","88.3","12",32.2,7.7,6.5,22.3
"Segura, Jean",516416,2023,301,326,3,14.4,".219",".279",".277","0.556","0.060",".251","2",".250","69.9","6.6","88","2.9",22.4,3.5,5.9,19.2
"Ruiz, Keibert",660688,2024,459,485,13,11.1,".229",".359",".260","0.619","0.130",".232","5",".268","66.4","7.1","85.4","19.8",32.2,3.2,4.1,12.1
"Ohtani, Shohei",660271,2024,636,731,54,22.2,".310",".646",".390","1.036","0.336",".336","6",".431","76.3","7.7","95.8","16.2",37.8,21.5,9,29.8
"Joe, Connor",656582,2023,413,472,11,23.3,".247",".421",".339","0.760","0.174",".311","8",".332","73.8","7.2","88.9","16.7",37.2,8.2,5.6,23.6
"Margot, Manuel",622534,2023,311,336,4,16.4,".264",".376",".310","0.686","0.112",".306","4",".299","71.6","7.2","87.9","10.5",28.6,3.9,5.4,24.4
"Haggerty, Sam",664059,2023,91,108,1,15.7,".253",".341",".364","0.705","0.088",".301","1",".321","69.3","7.2","85.9","12.1",32,1.3,1.3,21.6
"Martin, Austin",668885,2024,233,257,1,18.3,".253",".352",".318","0.670","0.099",".314","2",".297","66.9","6.9","87.2","12.7",39.4,1.1,5.3,21.4
"Votto, Joey",458015,2023,208,242,14,25.6,".202",".433",".314","0.747","0.231",".212","7",".326","68.7","7.3","89.3","13.9",23.3,11,5.5,30.8
"Batten, Matthew",676946,2023,120,139,2,21.6,".258",".358",".355","0.713","0.100",".330","1",".321","68.8","7","85","15",28.6,1.1,2.2,27.4
"Hampson, Garrett",641658,2024,213,231,0,25.5,".230",".300",".275","0.575","0.070",".314","0",".255","69","7","86","16.1",31.6,4.4,5.7,22.9
"Fortes, Nick",663743,2024,308,335,4,12.2,".227",".318",".259","0.577","0.091",".246","4",".252","71.3","7.1","84.3","15.4",29,1.4,2.9,13.2
"Jeffers, Ryan",680777,2024,412,465,21,20.2,".226",".432",".300","0.732","0.206",".238","14",".317","72.9","7.5","86.9","16.2",31.7,8.3,5.8,23.6
"Polanco, Jorge",593871,2024,416,468,16,29.3,".214",".356",".297","0.653","0.142",".275","4",".288","69.7","7.2","88.3","17.8",35.9,8.9,5.3,28.1
"Azocar, José",640492,2023,91,102,2,23.5,".231",".363",".278","0.641","0.132",".292","2",".280","70.1","7.1","87","12.5",31.9,6.9,1.4,23.4
"Alvarez, Yordan",670541,2023,410,496,31,18.5,".293",".583",".407","0.990","0.290",".306","13",".415","76.7","7.6","93.3","17.1",35.7,18,7.1,22.4
"Hicks, Aaron",543305,2024,57,63,1,36.5,".140",".193",".222","0.415","0.053",".212","0",".196","68.1","7.4","87.5","4.7",32.4,5.9,8.8,32.8
"Trout, Mike",545361,2024,109,126,10,21.4,".220",".541",".325","0.866","0.321",".194","1",".365","75.7","7.6","89.2","25.2",40.2,17.1,6.1,20.5
"Meadows, Parker",678009,2024,270,298,9,25.5,".244",".433",".310","0.743","0.189",".306","1",".321","70.5","7.3","87","18.5",34.7,7.7,6.1,27
"Gonzalez, Romy",663853,2024,199,216,6,26.9,".266",".417",".306","0.723","0.151",".338","1",".311","74.1","7","92.3","3.7",29.7,8.3,9,29.2
"Baddoo, Akil",668731,2023,312,357,11,24.9,".218",".372",".310","0.682","0.154",".268","0",".299","72.2","7.6","88.1","10.8",26.5,6.2,3.5,25.3
"Azocar, José",640492,2024,73,79,0,24.1,".219",".247",".269","0.516","0.028",".296","0",".235","70.5","7","86.5","9.8",30.9,3.6,3.6,29.7
"Drury, Brandon",592273,2023,485,523,26,26,".262",".497",".306","0.803","0.235",".308","8",".339","71.7","7.5","89.9","11.8",35,11,7.6,30.2
"Kwan, Steven",680757,2023,638,718,5,10.4,".268",".370",".340","0.710","0.102",".294","3",".313","64.1","6.4","86","10.7",37.7,1.1,2.8,11.2
"Herrera, Jose",645444,2024,97,114,1,23.7,".227",".320",".290","0.610","0.093",".300","0",".271","66.5","7","84.5","9",34.6,0,7.7,24.2
"Marsh, Brandon",669016,2023,404,472,12,30.5,".277",".458",".372","0.830","0.181",".397","4",".358","71.8","7.2","91.3","12.4",37.7,9.1,8.3,27.4
"Motter, Taylor",600301,2023,76,82,0,37.8,".171",".211",".232","0.443","0.040",".289","1",".204","72.8","7.4","87","19.2",37.8,8.9,11.1,29
"Longoria, Evan",446334,2023,211,237,11,30.8,".223",".422",".295","0.717","0.199",".277","0",".308","71.9","7.7","92.2","15.6",37.6,10.6,8.5,29
"Herrera, Iván",671056,2024,229,259,5,20.5,".301",".428",".372","0.800","0.127",".370","2",".351","73.3","7.5","89.3","9.2",38.2,9,6.7,24.8
"Lee, Brooks",686797,2024,172,185,3,14.6,".221",".320",".265","0.585","0.099",".243","0",".252","69.3","6.9","85.8","12.5",36.7,4.1,5.4,20.2
"Ramírez, José",608070,2023,611,691,24,10.6,".282",".475",".356","0.831","0.193",".285","1",".346","70.5","7.2","90","18",36.8,7,6.3,15.6
"Rodríguez, Julio",677594,2023,654,714,32,24.5,".275",".485",".333","0.818","0.210",".330","11",".347","77.2","8","92.7","8.5",31.8,11.9,7.3,28.3
