"last_name, first_name","player_id","year","ab","pa","home_run","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_hit_by_pitch","avg_swing_speed","avg_swing_length","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent"
"Happ, Ian",664023,2024,569,657,25,".243",".441",".341","0.782","0.198",".299","6","72.4","7","90.8","15.1",37,11.7,7.7
"Devers, Rafael",646240,2024,525,601,28,".272",".516",".354","0.870","0.244",".323","3","72.5","7.4","93.2","11.6",35.2,13,8.6
"Wood, James",695578,2024,295,336,9,".264",".427",".354","0.781","0.163",".365","2","73.9","7.4","92.8","2.4",31.3,10.6,6.1
"Díaz, Yandy",650490,2023,525,600,22,".330",".522",".410","0.932","0.192",".367","8","73.8","7.5","93.4","5.7",30.5,9.5,6.5
"Carpenter, Kerry",681481,2023,418,459,20,".278",".471",".340","0.811","0.193",".338","8","70.6","7.4","90.1","13.1",37.2,10.2,8.6
"Witt Jr., Bobby",677951,2023,641,694,30,".276",".495",".319","0.814","0.219",".295","4","75.1","7","90.7","15.7",34.4,11.5,7.2
"Julks, Corey",667452,2024,173,189,3,".214",".306",".275","0.581","0.092",".281","0","70.7","7","84.9","15",33.9,3.2,4.8
"d'Arnaud, Travis",518595,2023,267,292,11,".225",".397",".288","0.685","0.172",".258","3","72.3","7.7","90.7","10.3",37.8,9,10.9
"Narváez, Omar",553882,2024,65,69,0,".154",".185",".191","0.376","0.031",".189","0","65.8","6.8","86.1","21",27.8,0,3.7
"Story, Trevor",596115,2023,158,168,3,".203",".316",".250","0.566","0.113",".290","1","71","7.3","88.5","15.5",42.7,9.7,6.8
"Garcia, Maikel",672580,2024,575,626,7,".231",".332",".281","0.613","0.101",".268","0","70.8","7.2","90.4","6.4",34.1,3.7,4.8
"Johnson, Bryce",669369,2024,63,73,0,".206",".238",".286","0.524","0.032",".255","0","67.1","7.1","86.1","7.4",37,0,0
"Doyle, Brenton",686668,2023,399,431,10,".203",".343",".250","0.593","0.140",".295","4","71.2","7.2","88.3","11.7",29.9,8.7,4.3
"Stott, Bryson",681082,2024,506,571,11,".245",".356",".315","0.671","0.111",".275","3","68.2","7.1","87","14",35.3,3.6,5.2
"Calhoun, Willie",641432,2024,229,254,5,".245",".380",".315","0.695","0.135",".263","1","69.9","6.7","89","12.4",30.2,3,5.5
"DeJong, Paul",657557,2023,372,400,14,".207",".355",".258","0.613","0.148",".264","5","69.5","6.9","85.5","16.8",34.8,6.7,5.5
"Dalbec, Bobby",666915,2024,83,93,1,".133",".193",".217","0.410","0.060",".256","1","72.3","7.2","86","10",19.5,2.4,9.8
"Abreu, Wilyer",677800,2023,76,85,2,".316",".474",".388","0.862","0.158",".431","0","74.1","7.5","91.3","11.9",35.8,9.4,7.5
"Díaz, Aledmys",649557,2023,315,344,4,".229",".337",".280","0.617","0.108",".273","7","70.8","7.6","87.8","11.3",27.6,2.8,7.1
"Heyward, Jason",518792,2023,334,377,15,".269",".473",".340","0.813","0.204",".291","3","73.8","8.1","87.7","15.4",33,8.1,6.6
"Benson, Will",666181,2023,287,329,11,".275",".498",".365","0.863","0.223",".391","1","70.3","7.4","90.2","14.6",40.5,10.3,9.2
"Hoerner, Nico",663538,2023,619,688,9,".283",".383",".346","0.729","0.100",".312","14","68.8","7.1","86.6","10.5",33.2,1.8,4.2
"Gelof, Zack",680869,2024,497,547,17,".211",".362",".270","0.632","0.151",".296","4","71.6","7.3","89.2","14.2",34.4,8.8,6.3
"Albies, Ozzie",645277,2024,399,435,10,".251",".404",".303","0.707","0.153",".274","5","69.1","7.2","88.4","18.4",33.4,6.2,4.7
"Hedges, Austin",595978,2024,132,146,2,".152",".220",".203","0.423","0.068",".220","3","69.8","7.4","84.8","21.4",24.1,1.1,5.7
"Story, Trevor",596115,2024,94,106,2,".255",".394",".340","0.734","0.139",".373","1","68.8","7.2","86.1","18.6",37.7,6.6,3.3
"Marchán, Rafael",665561,2024,51,56,3,".294",".549",".345","0.894","0.255",".300","1","65.6","7.4","86.2","16.7",47.7,9.1,0
