"last_name, first_name","player_id","year","ab","pa","home_run","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_hit_by_pitch","avg_swing_speed","avg_swing_length","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent"
"O'Hearn, Ryan",656811,2024,443,494,15,".264",".427",".334","0.761","0.163",".282","2","72.4","7.1","89.6","12",35,6.9,9.3
"Herrera, Jose",645444,2024,97,114,1,".227",".320",".290","0.610","0.093",".300","0","66.5","7","84.5","9",34.6,0,7.7
"Arenado, Nolan",571448,2023,560,612,26,".266",".459",".315","0.774","0.193",".279","3","71.4","8.2","88.8","16.9",33,7.3,6
"Arozarena, Randy",668227,2023,551,654,23,".254",".425",".364","0.789","0.171",".310","18","72.9","7.5","91.7","11.3",31.8,12.3,7.8
"Schanuel, Nolan",694384,2024,519,607,13,".250",".362",".343","0.705","0.112",".285","9","65.2","6.6","86.1","10.3",36.4,3.5,4
"Slater, Austin",596103,2023,185,207,5,".270",".400",".348","0.748","0.130",".369","2","73.3","7.1","91.1","7.5",34.6,11.8,4.7
"Chavis, Michael",656308,2023,91,96,2,".242",".341",".281","0.622","0.099",".357","0","72.7","7.3","84.5","8.9",41.4,1.7,6.9
"Solano, Donovan",456781,2024,283,309,8,".286",".417",".343","0.760","0.131",".346","3","67.1","7","87.3","13.7",37,3.7,7.3
"Odor, Rougned",596059,2023,138,157,4,".203",".355",".299","0.654","0.152",".247","2","73.2","7.6","90.1","19.9",38.6,6.9,5
"Mountcastle, Ryan",663624,2023,423,470,18,".270",".452",".328","0.780","0.182",".315","3","76.3","7.4","91.4","12",35.9,12.1,7.1
"Hampson, Garrett",641658,2023,221,252,3,".276",".380",".349","0.729","0.104",".379","3","67.4","6.8","86.6","11.8",37.1,3.1,5.7
"Freeman, Freddie",518692,2023,637,730,29,".331",".567",".410","0.977","0.236",".370","16","70.5","6.7","90","15.2",46.6,11.1,8.8
"Rice, Ben",700250,2024,152,178,7,".171",".349",".264","0.613","0.178",".186","1","71.4","7.4","90","17.7",34.9,15.6,1.8
"Hicks, Aaron",543305,2024,57,63,1,".140",".193",".222","0.415","0.053",".212","0","68.1","7.4","87.5","4.7",32.4,5.9,8.8
"Trout, Mike",545361,2024,109,126,10,".220",".541",".325","0.866","0.321",".194","1","75.7","7.6","89.2","25.2",40.2,17.1,6.1
"Basabe, Osleivis",678545,2023,87,94,1,".218",".310",".277","0.587","0.092",".295","1","70.7","6.7","88.4","-2.3",29,3.2,6.5
"Ortiz, Joey",687401,2024,440,511,11,".239",".398",".329","0.727","0.159",".283","6","73.4","7.5","87.8","9.9",26.6,4.6,5.2
"Remillard, Zach",621545,2023,147,160,1,".252",".320",".295","0.615","0.068",".367","1","69.1","7.1","85.7","11.9",23.3,1,1
"Santander, Anthony",623993,2023,591,656,28,".257",".472",".325","0.797","0.215",".299","6","72.9","7.2","90.6","20.2",33,10.2,8.4
"Moniak, Mickey",666160,2023,311,323,14,".280",".495",".307","0.802","0.215",".397","3","72.9","7.7","89","19.7",38.9,12.6,3.5
"Rosario, Eddie",592696,2023,478,516,21,".255",".450",".305","0.755","0.195",".300","1","70.4","7.1","88.6","14.5",35.9,9.5,5.6
"Grandal, Yasmani",518735,2023,363,405,8,".234",".339",".309","0.648","0.105",".284","4","70.7","7.5","87.9","10.8",32.3,4.7,4.7
"García, Adolis",666969,2023,555,632,39,".245",".508",".328","0.836","0.263",".280","6","73.7","7.9","92.1","15.7",36,16.1,8.5
"Giménez, Andrés",665926,2024,583,633,9,".252",".340",".298","0.638","0.088",".286","15","68.3","7","86.3","8.7",32.7,2.8,4.4
"Myers, Dane",667472,2024,95,108,3,".263",".442",".333","0.775","0.179",".379","3","71.2","7.2","89.9","11.4",32.8,11.5,1.6
"Brantley Jr., Michael",488726,2023,54,57,2,".278",".426",".298","0.724","0.148",".255","0","68.6","6.7","90.4","14.1",35.8,0,3.8
"Cabbage, Trey",663550,2023,53,56,1,".208",".321",".232","0.553","0.113",".370","0","75.1","7.8","86.7","4.6",28.6,7.1,0
"Jones, Nolan",666134,2024,256,297,3,".227",".320",".321","0.641","0.093",".333","1","70.7","6.7","88.2","7.8",34.3,5.9,6.5
"Sanó, Miguel",593934,2024,83,95,2,".205",".313",".295","0.608","0.108",".326","2","76.5","8","93.8","8.9",33.3,10.4,4.2
"Haniger, Mitch",571745,2023,211,229,6,".209",".365",".266","0.631","0.156",".270","2","71.9","7.2","91","15.9",36.7,10.9,7.5
"Aguilar, Jesús",542583,2023,104,115,5,".221",".385",".281","0.666","0.164",".261","1",,,"86.7","16.3",33.8,6.8,5.4
"Walker, Jordan",691023,2024,164,178,5,".201",".366",".253","0.619","0.165",".252","2","77.3","8.2","91.2","9.4",29.3,9.5,4.3
"Polanco, Jorge",593871,2023,302,343,14,".255",".454",".335","0.789","0.199",".310","2","70.6","7.3","88.4","21.6",39.6,13.8,5.5
"Isbel, Kyle",664728,2023,292,313,5,".240",".380",".282","0.662","0.140",".283","1","71","7.2","89.4","14.6",32.2,5.5,5.5
"Villar, David",681584,2023,124,140,5,".145",".315",".236","0.551","0.170",".173","4","69.5","7.4","87.7","19",38.8,13.8,5
"Gurriel Jr., Lourdes",666971,2024,513,553,18,".279",".435",".322","0.757","0.156",".313","6","70.6","7.5","88.4","15.7",33.8,6.7,7.2
"Toro, Abraham",647351,2024,337,364,6,".240",".350",".293","0.643","0.110",".279","5","69.6","7.6","87.2","12.2",33.2,4.3,5.4
"Duvall, Adam",594807,2023,320,353,21,".247",".531",".303","0.834","0.284",".299","6","72.1","7.6","88.8","28.9",33,13,5.6
"Yoshida, Masataka",807799,2023,537,580,15,".289",".445",".338","0.783","0.156",".316","7","71.4","7.4","89","3.9",29.5,6.6,3.9
"Smith, Will",669257,2023,464,554,19,".261",".438",".359","0.797","0.177",".277","15","68.6","7.2","89.3","15.6",37.5,6.7,9.3
"Mathias, Mark",664029,2023,62,72,0,".226",".258",".333","0.591","0.032",".298","0","67","7.1","83.6","1.3",25.5,0,0
"Tellez, Rowdy",642133,2023,311,351,13,".215",".376",".291","0.667","0.161",".249","0","74.5","7.9","89.9","15.2",35.7,8.7,7.8
"Kim, Ha-Seong",673490,2023,538,626,17,".260",".398",".351","0.749","0.138",".306","3","67.6","6.9","86.2","13.6",36.1,4.2,5.7
"Paris, Kyren",677347,2024,51,59,1,".118",".216",".224","0.440","0.098",".152","0","72.3","6.9","87.8","6.3",32.4,5.9,14.7
"Thaiss, Matt",642136,2024,157,186,2,".204",".299",".323","0.622","0.095",".306","0","72.4","7.8","86.6","12.9",33,8,8
"Frazier, Adam",624428,2024,262,294,4,".202",".294",".282","0.576","0.092",".246","7","66.5","6.9","84.5","15.3",37.9,2.9,4.9
"Sabol, Blake",666165,2023,310,344,13,".235",".394",".301","0.695","0.159",".330","6","71.6","7.4","89.1","16.1",31,11.2,6.1
"Batten, Matthew",676946,2023,120,139,2,".258",".358",".355","0.713","0.100",".330","1","68.8","7","85","15",28.6,1.1,2.2
"Alu, Jake",666906,2023,159,175,2,".226",".289",".282","0.571","0.063",".291","3","67.8","6.7","88.6","5.1",35.8,2.5,5.8
"Ramírez, José",608070,2024,620,682,39,".279",".537",".335","0.872","0.258",".265","1","71.5","7.3","89.2","19.6",34,8.6,8.5
"Bliss, Ryan",669208,2024,63,71,2,".222",".397",".290","0.687","0.175",".308","1","70.6","6.8","88.5","6.8",37.2,9.3,16.3
"Maldonado, Martín",455117,2023,362,407,15,".191",".348",".258","0.606","0.157",".260","3","71.7","7.7","88.4","18.1",32.8,8.5,7.7
"Moore, Dylan",664238,2023,145,165,7,".207",".428",".303","0.731","0.221",".280","4","72.2","7.3","89","21.4",40.4,16.9,11.2
"Arraez, Luis",650333,2024,637,672,4,".314",".392",".346","0.738","0.078",".324","8","63.1","6","86.3","13.7",40.9,1.6,3.8
"Mountcastle, Ryan",663624,2024,473,507,13,".271",".425",".308","0.733","0.154",".327","1","75.1","7.5","90.8","10.4",36.2,8.8,7.9
"Bregman, Alex",608324,2024,581,634,26,".260",".453",".315","0.768","0.193",".264","5","71.3","7","89.1","18.2",34.9,6.4,7.4
"Contreras, William",661388,2023,540,611,17,".289",".457",".367","0.824","0.168",".348","5","73.8","7.3","91.3","4.7",27.1,9.4,6.2
"Monasterio, Andruw",655316,2024,125,142,1,".208",".272",".303","0.575","0.064",".298","1","69.1","6.7","88.1","14.9",36.5,9.4,8.2
"Tena, José",677588,2024,161,168,3,".267",".354",".298","0.652","0.087",".342","0","71.2","6.9","91.2","7.6",30.8,8.3,4.2
"Farmer, Kyle",571657,2024,215,242,5,".214",".353",".293","0.646","0.139",".252","6","66.7","6.8","87.7","17.9",36.3,5.4,6
"Martínez, Angel",682657,2024,151,169,3,".232",".338",".298","0.636","0.106",".274","0","69","7.3","86.5","14.9",29.8,1.7,5.8
"Rogers, Jake",668670,2024,310,337,10,".197",".352",".255","0.607","0.155",".251","3","70.7","7.3","89","15.7",32.9,9.9,9.4
"Rosario, Eguy",666703,2024,53,57,3,".245",".528",".286","0.814","0.283",".333","1","72.5","7.8","89.2","12.9",41.2,14.7,5.9
"Guerrero Jr., Vladimir",665489,2023,602,682,26,".264",".444",".345","0.789","0.180",".277","9","75.5","7.6","92.1","10.5",32.4,11.1,6.1
"McNeil, Jeff",643446,2024,424,472,12,".238",".384",".308","0.692","0.146",".256","9","68.8","7.2","87","14.9",32.2,3.1,6.1
"Bader, Harrison",664056,2023,319,344,7,".232",".348",".274","0.622","0.116",".261","3","70.8","7.2","85.9","17.8",32.8,5.3,7.5
"Espinal, Santiago",669289,2023,230,254,2,".248",".335",".310","0.645","0.087",".285","3","69.2","7.5","87","11.4",33,1,5.1
"Soderstrom, Tyler",691016,2023,125,138,3,".160",".240",".232","0.472","0.080",".212","1","73","7.6","89.3","5.7",26.5,6,3.6
"Matos, Luis",682641,2023,228,253,2,".250",".342",".319","0.661","0.092",".285","3","72.2","7.1","87.1","6.3",38.6,2,7.1
"Torrens, Luis",620443,2024,118,130,3,".229",".373",".292","0.665","0.144",".273","2","71.4","7.3","89.6","13.1",36.3,6.6,7.7
"Florial, Estevan",664314,2023,61,71,0,".230",".311",".324","0.635","0.081",".333","2","72.3","7.3","86.2","17.2",38.1,2.4,9.5
"Lowe, Nathaniel",663993,2024,486,565,16,".265",".401",".361","0.762","0.136",".324","4","73.3","7.3","88.9","7.7",32.6,5.8,6.8
"Rodríguez, Julio",677594,2023,654,714,32,".275",".485",".333","0.818","0.210",".330","11","77.2","8","92.7","8.5",31.8,11.9,7.3
"Palacios, Joshua",641943,2023,247,264,10,".239",".413",".279","0.692","0.174",".269","2","71.5","7.2","91.3","7.7",30.9,9.8,5.2
"Alonso, Pete",624413,2023,568,658,46,".217",".504",".318","0.822","0.287",".205","21","75.7","7.4","89.5","18.2",32.3,14.7,6.4
"Ramos, Henry",592656,2023,74,86,0,".243",".311",".349","0.660","0.068",".340","1","70.5","7.2","82.4","13.8",32.1,3.8,3.8
"Swanson, Dansby",621020,2023,565,638,22,".244",".416",".328","0.744","0.172",".297","5","71.5","7.3","89.3","13",35.1,10.9,7.3
"Ramírez, José",608070,2023,611,691,24,".282",".475",".356","0.831","0.193",".285","1","70.5","7.2","90","18",36.8,7,6.3
"Morel, Christopher",666624,2023,388,429,26,".247",".508",".313","0.821","0.261",".303","2","75.7","8","92.1","12.4",29.5,15.9,5
"Diaz, Yainer",673237,2024,585,619,16,".299",".441",".325","0.766","0.142",".338","2","72.5","7.4","90.2","8.9",35,7.6,8.4
"Fitzgerald, Tyler",666149,2024,314,341,15,".280",".497",".334","0.831","0.217",".380","4","70.5","7.4","87.7","20.2",39.1,8.2,4.8
"McNeil, Jeff",643446,2023,585,648,10,".270",".378",".333","0.711","0.108",".288","18","68.2","6.9","86","14.4",32.1,1.3,5.7
"Encarnacion-Strand, Christian",687952,2023,222,241,13,".270",".477",".328","0.805","0.207",".336","5","73.4","7.3","90.3","18.6",38.6,10.5,8.5
"Benintendi, Andrew",643217,2024,477,522,20,".229",".396",".289","0.685","0.167",".245","1","68","6.7","88","16.1",36.5,6.3,8.3
"García, Adolis",666969,2024,580,637,25,".224",".400",".284","0.684","0.176",".273","6","72","7.9","91","15",33.7,12.5,6.6
"Alvarez, Yordan",670541,2024,552,635,35,".308",".567",".392","0.959","0.259",".317","10","76.5","7.6","93.1","18.3",35.4,14.5,7.6
"Yastrzemski, Mike",573262,2024,428,474,18,".231",".437",".302","0.739","0.206",".282","6","70.9","7.6","90.4","19.1",33,10.5,6.5
"Bellinger, Cody",641355,2023,499,556,26,".307",".525",".356","0.881","0.218",".319","5","69.9","7.6","87.9","17.2",38,6.1,5.4
"Lee, Brooks",686797,2024,172,185,3,".221",".320",".265","0.585","0.099",".243","0","69.3","6.9","85.8","12.5",36.7,4.1,5.4
"Joe, Connor",656582,2023,413,472,11,".247",".421",".339","0.760","0.174",".311","8","73.8","7.2","88.9","16.7",37.2,8.2,5.6
"Gallagher, Cam",595956,2023,143,149,0,".126",".168",".154","0.322","0.042",".184","1","68.8","7.6","82.5","17.3",24.5,2,3.1
"Urshela, Gio",570482,2023,214,228,2,".299",".374",".329","0.703","0.075",".346","1",,,"87.5","8.6",34.8,3.9,4.4
"Ruiz, Keibert",660688,2024,459,485,13,".229",".359",".260","0.619","0.130",".232","5","66.4","7.1","85.4","19.8",32.2,3.2,4.1
"Gamel, Ben",592325,2024,81,99,1,".247",".333",".384","0.717","0.086",".339","0","70.5","7.3","89.1","12.8",47.4,10.5,1.8
"Ramírez, Harold",623912,2023,400,434,12,".313",".460",".353","0.813","0.147",".359","6","72.3","7.3","89.1","6.1",29.4,4.6,6.4
"Bart, Joey",663698,2023,87,95,0,".207",".264",".263","0.527","0.057",".277","4","73.6","7.6","86.2","15.4",23.1,6.2,6.2
"Hernández, Enrique",571771,2023,465,508,11,".237",".357",".289","0.646","0.120",".273","3","72.3","7.5","87.8","17",31,4.5,5.1
"Wong, Kolten",543939,2023,224,250,4,".183",".263",".256","0.519","0.080",".218","5","70.3","6.8","85.6","14",28.7,1.7,4
"Rojas, Johan",679032,2024,338,363,3,".243",".322",".279","0.601","0.079",".297","4","71.3","7.2","85.7","4.8",22,2.5,3.6
"Casas, Triston",671213,2024,212,243,13,".241",".462",".337","0.799","0.221",".311","1","74.6","7.7","90.2","10.5",35.6,13.3,7.4
"Solano, Donovan",456781,2023,394,450,5,".282",".391",".369","0.760","0.109",".366","15","68.1","7","90.2","13.1",43.1,6.1,8.1
"Ibáñez, Andy",628451,2024,224,244,5,".241",".357",".295","0.652","0.116",".310","3","70.1","7.3","88.1","20.3",33.7,4.9,5.5
"Cordero, Franchy",614173,2023,69,71,6,".188",".478",".211","0.689","0.290",".184","0","78.1","7.7","91.4","8.8",31.8,15.9,6.8
"Sánchez, Gary",596142,2023,240,267,19,".217",".492",".288","0.780","0.275",".212","4","73.4","7.4","90.1","16.5",27.4,15.4,5.1
"Benintendi, Andrew",643217,2023,562,621,5,".262",".356",".326","0.682","0.094",".301","3","67","6.6","86.6","14.5",40.9,2.9,3.4
"Kavadas, Niko",694359,2024,93,106,4,".183",".333",".283","0.616","0.150",".271","2","70.5","7","91.7","27.3",42.3,11.5,7.7
"Greene, Riley",682985,2024,512,584,24,".262",".479",".348","0.827","0.217",".329","5","74.7","7.2","91.3","12.2",39.1,13.4,8.1
"Stubbs, Garrett",596117,2023,113,125,1,".204",".283",".274","0.557","0.079",".265","2","67.5","7","83.4","22.4",18.8,0,2.4
"Mendick, Danny",664901,2023,65,69,1,".185",".277",".232","0.509","0.092",".224","0","67.8","7.1","89.1","11",32,4,2
"Greene, Riley",682985,2023,378,416,11,".288",".447",".349","0.796","0.159",".384","1","75.5","7.2","91.6","6.6",36.8,11.3,8.3
"Crawford, J.P.",641487,2024,392,451,9,".202",".321",".304","0.625","0.119",".248","6","71.9","7.3","87.5","13.2",30.2,6.5,6.5
"Fortes, Nick",663743,2023,294,323,6,".204",".299",".263","0.562","0.095",".234","7","70.3","7.1","88.2","13.9",27.1,3.8,5.8
"Kim, Ha-Seong",673490,2024,403,470,11,".233",".370",".330","0.700","0.137",".261","2","69","6.8","87.9","15.1",36.6,4.8,4.8
"Jansen, Danny",643376,2023,268,301,17,".228",".474",".312","0.786","0.246",".233","10","70.9","6.8","88.3","19.7",35.4,10.7,7.8
"Noda, Ryan",676116,2023,406,495,16,".229",".406",".364","0.770","0.177",".347","10","72.2","7.3","91.2","16",38.2,13,8.8
"Duffy, Matt",622110,2023,191,209,2,".251",".325",".306","0.631","0.074",".303","4","67.5","6.7","86.4","8.8",35.7,2.6,1.3
"Santana, Carlos",467793,2024,521,594,23,".238",".420",".328","0.748","0.182",".252","6","71.8","7.6","89.2","16.1",30.9,7.3,6.6
"Naylor, Josh",647304,2024,563,633,31,".243",".456",".320","0.776","0.213",".246","7","72.9","7.6","89.9","11.1",30.1,8.4,6.1
"Stubbs, Garrett",596117,2024,164,187,1,".207",".262",".296","0.558","0.055",".289","4","66.6","7.1","79.7","19.4",40.9,0,4.3
"Nuñez, Nasim",683083,2024,61,78,0,".246",".262",".370","0.632","0.016",".326","0","66.5","6.7","83.3","-1.9",17.6,0,3.9
"Diaz, Yainer",673237,2023,355,377,23,".282",".538",".308","0.846","0.256",".292","5","73.7","7.5","90.3","11.5",36.9,12.2,7.3
"Clemens, Kody",665019,2023,139,148,4,".230",".367",".277","0.644","0.137",".295","1",,,"90.4","15.2",29.3,6.1,6.1
"Giménez, Andrés",665926,2023,557,616,15,".251",".399",".314","0.713","0.148",".289","20","68.8","7","84.8","13.1",29.9,5.5,4.2
"Fletcher, David",664058,2023,89,97,2,".247",".326",".302","0.628","0.079",".256","0","64.8","6.6","83.3","9.3",32.1,0,1.2
"McMahon, Ryan",641857,2024,567,645,20,".242",".397",".325","0.722","0.155",".320","3","72.5","7.2","92.1","10",36.5,10.9,7
"Zavala, Seby",664874,2023,175,193,7,".171",".314",".230","0.544","0.143",".230","2","68.9","7.2","87.5","14.9",34.9,5.5,8.3
"Holliday, Jackson",702616,2024,190,208,5,".189",".311",".255","0.566","0.122",".265","2","71.2","7.1","89.3","8.6",27,8.2,9.8
"Bride, Jonah",681146,2024,232,272,11,".276",".461",".357","0.818","0.185",".306","3","67.9","7.2","87.1","11.8",29.9,5.4,4.3
"Turang, Brice",668930,2023,404,448,6,".218",".300",".285","0.585","0.082",".268","1","68.5","6.5","85.5","12.6",34.3,2.9,6.3
"Davis, J.D.",605204,2023,480,546,18,".248",".412",".325","0.737","0.164",".320","6","72.2","7.3","91.1","7.8",33.5,9.6,6.3
"Canzone, Dominic",686527,2024,168,188,8,".196",".381",".271","0.652","0.185",".229","0","72.4","7.6","89.9","9.1",31.6,11.1,10.3
"Hurtubise, Jacob",674441,2024,54,68,0,".185",".241",".297","0.538","0.056",".270","3","65","6.9","82.8","20.6",39,0,2.4
"Moore, Dylan",664238,2024,368,441,10,".201",".367",".320","0.687","0.166",".267","14","73","7.1","88.4","22.6",38.2,8.8,6
"Stefanic, Michael",683021,2024,110,124,0,".218",".255",".301","0.556","0.037",".267","3","64.4","6.3","85.1","7",24.2,1.1,1.1
"Alvarez, Yordan",670541,2023,410,496,31,".293",".583",".407","0.990","0.290",".306","13","76.7","7.6","93.3","17.1",35.7,18,7.1
"Brown, Seth",664913,2023,343,378,14,".222",".405",".286","0.691","0.183",".270","2","73.8","7.3","90.5","16.4",32.7,12.2,9.8
"Adams, Riley",656180,2023,143,158,4,".273",".476",".331","0.807","0.203",".368","2","75.2","8.1","89.9","18.1",42,5,12
"Trout, Mike",545361,2023,308,362,18,".263",".490",".367","0.857","0.227",".335","7","72.9","7.4","91.9","19.3",38.3,16,5.8
"Robles, Victor",645302,2024,254,295,4,".307",".433",".381","0.814","0.126",".370","11","68.3","6.9","86.7","14.8",34.8,6.2,4.8
"Burleson, Alec",676475,2023,315,347,8,".244",".390",".300","0.690","0.146",".261","3","70.4","7.6","89.9","12.4",36.6,5.9,8.4
"Trevino, Jose",624431,2023,157,168,4,".210",".312",".257","0.569","0.102",".221","2","67.7","7","85.8","9.6",30.9,2.9,5.9
"Ozuna, Marcell",542303,2024,606,688,39,".302",".546",".378","0.924","0.244",".359","3","74","7.4","92.1","14.4",40.5,15.5,11.4
"Walker, Christian",572233,2024,479,552,26,".251",".468",".335","0.803","0.217",".287","10","75","7.5","91.2","16.6",35,13.3,7.1
"McCormick, Chas",676801,2024,242,267,5,".211",".306",".271","0.577","0.095",".274","4","70.8","7.5","86.2","15.2",32.2,7.5,4
"Schanuel, Nolan",694384,2023,109,132,1,".275",".330",".402","0.732","0.055",".326","3","64.9","6.5","85.4","6.5",40,2.2,2.2
"Rojas, Miguel",500743,2024,307,337,6,".283",".410",".337","0.747","0.127",".301","3","67.9","7","85","9.7",33.2,2.5,2.2
"Kelenic, Jarred",672284,2023,372,416,11,".253",".419",".327","0.746","0.166",".359","1","72.2","7.1","90.9","10.1",38.8,9.5,9.9
"Yelich, Christian",592885,2024,270,315,11,".315",".504",".406","0.910","0.189",".366","2","73.2","7.5","91.1","5.2",32.2,7.9,8.9
"Rutschman, Adley",668939,2023,588,687,20,".277",".435",".374","0.809","0.158",".303","2","70.3","6.9","88.4","12.6",37,7.5,6.5
"Serven, Brian",661531,2024,63,71,0,".159",".222",".243","0.465","0.063",".244","2","70.3","7.5","84.7","20.6",35.7,2.4,9.5
"Clement, Ernie",676391,2023,50,52,1,".380",".500",".385","0.885","0.120",".391","0","65.8","6.7","84.1","16.3",36.2,2.1,2.1
"Andujar, Miguel",609280,2023,84,90,4,".250",".476",".300","0.776","0.226",".254","0","71.8","7.7","89.2","5.3",28.2,7,4.2
"Longoria, Evan",446334,2023,211,237,11,".223",".422",".295","0.717","0.199",".277","0","71.9","7.7","92.2","15.6",37.6,10.6,8.5
"Cronenworth, Jake",630105,2024,577,656,17,".241",".390",".324","0.714","0.149",".274","11","69.5","7.1","88.6","13.9",35.4,7.8,5.8
"Judge, Aaron",592450,2023,367,458,37,".267",".613",".406","1.019","0.346",".300","0","76.4","8.1","97.6","20.4",37.1,27.5,10.4
"Singleton, Jon",572138,2023,91,105,2,".165",".264",".267","0.531","0.099",".194","0","71.6","7.2","88.9","17.5",27.5,5.8,8.7
"McCoy, Mason",669200,2024,49,57,0,".204",".245",".278","0.523","0.041",".333","0","67.7","7.4","82.9","9.3",33.3,0,0
"Herrera, Iván",671056,2024,229,259,5,".301",".428",".372","0.800","0.127",".370","2","73.3","7.5","89.3","9.2",38.2,9,6.7
"Ward, Taylor",621493,2023,356,409,14,".253",".421",".335","0.756","0.168",".284","8","69.5","7","90.7","14.3",34,8.2,6
"Castro, Willi",650489,2024,558,635,12,".247",".385",".331","0.716","0.138",".315","21","70.6","7.1","87.4","13.6",39,7,8
"Harrison, Josh",543281,2023,103,114,2,".204",".291",".263","0.554","0.087",".229","6","68.3","7.4","86.6","10.7",30.6,2.4,4.7
"Candelario, Jeimer",600869,2024,427,463,20,".225",".429",".279","0.708","0.204",".257","6","68.4","7.8","86.9","12.4",33.9,8.2,5.7
"Rosario, Amed",642708,2024,332,346,3,".280",".380",".306","0.686","0.100",".350","4","71.2","7.3","86.9","4.6",33.5,4.6,3.8
"Crow-Armstrong, Pete",691718,2024,372,410,10,".237",".384",".286","0.670","0.147",".292","6","70.6","7.2","88.9","17.2",33.3,7.4,6
"Campusano, Luis",669134,2023,163,174,7,".319",".491",".356","0.847","0.172",".331","3","68.7","7.6","88.5","13.2",38.5,7.7,5.6
"Heim, Jonah",641680,2023,457,501,18,".258",".438",".317","0.755","0.180",".289","1","68.4","7.3","89.2","17.3",34.3,8,6.9
"Mitchell, Garrett",669003,2023,65,73,3,".246",".446",".315","0.761","0.200",".351","0","74.3","7.3","86.7","7.5",40,10,5
"Peterson, Jace",607054,2023,374,430,6,".211",".307",".304","0.611","0.096",".270","4","67.5","6.9","85.7","14.4",33.5,4.7,6.1
"Domínguez, Jasson",691176,2024,56,67,2,".179",".304",".313","0.617","0.125",".229","0","75.4","7.7","89.4","5.1",24.3,10.8,2.7
"Knizner, Andrew",668800,2023,224,241,10,".241",".424",".287","0.711","0.183",".288","3","71.4","7","89.6","14.3",26.8,7.9,6.7
"Abreu, José",547989,2024,113,120,2,".124",".195",".167","0.362","0.071",".143","2","73.1","7.1","87.8","6.7",26.7,2.3,3.5
"Chaparro, Andrés",665953,2024,121,132,4,".215",".413",".280","0.693","0.198",".237","4","72.4","7.1","87.8","16.6",27.8,6.2,8.2
"Lewis, Royce",668904,2023,217,239,15,".309",".548",".372","0.920","0.239",".354","2","75.2","7.8","90.2","16.2",33.3,11.7,6.8
"Black, Tyler",672012,2024,49,57,0,".204",".245",".316","0.561","0.041",".313","1","68.6","7","83","16.4",31.3,0,3.1
"Amaya, Miguel",665804,2023,131,156,5,".214",".359",".329","0.688","0.145",".264","11","73.6","7.4","87","18.6",34.4,9.7,6.5
"Frelick, Sal",686217,2023,191,223,3,".246",".351",".341","0.692","0.105",".286","1","67.1","7","83.3","8.1",29.3,2.5,2.5
"Gonzalez, Romy",663853,2024,199,216,6,".266",".417",".306","0.723","0.151",".338","1","74.1","7","92.3","3.7",29.7,8.3,9
"Polanco, Jorge",593871,2024,416,468,16,".214",".356",".297","0.653","0.142",".275","4","69.7","7.2","88.3","17.8",35.9,8.9,5.3
"Bethancourt, Christian",542194,2023,315,332,11,".225",".381",".254","0.635","0.156",".278","0","72.5","7.5","88.6","11.3",28.5,7.9,4.4
"Rortvedt, Ben",666163,2023,68,79,2,".118",".221",".241","0.462","0.103",".128","0","70.9","6.8","88","16.3",34.7,6.1,0
"Stallings, Jacob",607732,2023,241,276,3,".191",".286",".278","0.564","0.095",".249","3","67.2","7.1","89.7","9.1",28.5,5.6,5.6
"Hedges, Austin",595978,2023,185,212,1,".184",".227",".234","0.461","0.043",".236","2","68.2","7.1","87.2","15.4",29.1,0.7,4
"Lowe, Brandon",664040,2023,377,436,21,".231",".443",".328","0.771","0.212",".275","6","73.3","7.1","91.4","16",32.6,10.7,7.3
"Castro, Harold",605612,2023,258,270,1,".252",".314",".275","0.589","0.062",".332","0","66.6","6.5","86.2","10",38.5,3.1,3.6
"Paredes, Isaac",670623,2024,542,641,19,".238",".393",".346","0.739","0.155",".259","17","68.2","8","85","22.4",37,4.5,7.2
"Vargas, Ildemaro",545121,2024,272,303,1,".246",".316",".295","0.611","0.070",".269","2","69.6","7.2","87","4",29.5,1.2,4
"Clemens, Kody",665019,2024,114,120,5,".219",".447",".258","0.705","0.228",".250","1","70.5","7.3","89.4","19.2",30.6,7.1,8.2
"Machado, Manny",592518,2024,593,643,29,".275",".472",".325","0.797","0.197",".302","1","75.2","7.8","92.5","12.7",33.8,11,5.9
"Verdugo, Alex",657077,2023,546,602,13,".264",".421",".324","0.745","0.157",".294","6","67.6","6.2","89.2","8.8",35.4,5,6.3
"Wisdom, Patrick",621550,2024,158,174,8,".171",".392",".237","0.629","0.221",".207","4","75.4","7.9","90.9","28",23.8,15.8,7.9
"Butler, Lawrence",671732,2023,123,129,4,".211",".341",".240","0.581","0.130",".259","1","74.1","7.2","88.3","16.2",24.7,9,5.6
"García, Avisaíl",541645,2023,108,118,3,".185",".315",".241","0.556","0.130",".258","2","71.9","7.5","90.4","10.2",27.5,11.6,8.7
"Tovar, Ezequiel",678662,2024,655,695,26,".269",".469",".295","0.764","0.200",".344","4","71.3","7.5","88.8","18.9",38.5,9,7.7
"Torkelson, Spencer",679529,2024,342,381,10,".219",".374",".295","0.669","0.155",".285","4","73.6","7.5","89","20.2",31.5,6.7,5
"O'Hearn, Ryan",656811,2023,346,368,14,".289",".480",".322","0.802","0.191",".340","3","72.2","7.1","91.9","12",35.1,10.1,7.8
