"last_name, first_name","player_id","year","ab","pa","home_run","k_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_hit_by_pitch","woba","avg_swing_speed","fast_swing_rate","blasts_swing","squared_up_swing","avg_swing_length","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","z_swing_percent","oz_swing_percent","iz_contact_percent","whiff_percent"
"Locastro, Tim",641796,2023,56,67,2,32.8,".232",".393",".338","0.731","0.161",".344","6",".327","68.3",2.4,6,20.5,"7.5","83.3","22.2",30.6,8.3,0,62.1,41.2,71.4,32.3
"Julien, Edouard",666397,2023,338,408,16,31.4,".263",".459",".381","0.840","0.196",".371","2",".366","71.1",11.6,11.9,25.4,"6.8","89.5","8",38.8,13.1,7.5,61.3,14.3,77.6,29.1
"McGuire, Reese",624512,2024,139,158,3,24.7,".209",".295",".280","0.575","0.086",".260","2",".259","68.8",6.1,6.6,21.7,"8.1","84","12.4",29.8,6.7,6.7,61.6,29.5,88.4,24.5
"Lewis, Kyle",641786,2023,51,54,1,38.9,".157",".255",".204","0.459","0.098",".241","0",".204","71",14.3,5.7,14.3,"7.1","89.1","23.6",26.7,6.7,3.3,66.9,26.5,68.4,35.8
"Peguero, Liover",678894,2023,198,213,7,31.5,".237",".374",".280","0.654","0.137",".320","1",".284","73.1",28.5,10.5,20.2,"7.3","89.3","4.1",27.6,5.2,3.7,72.9,28.4,79,29.4
"Stewart, DJ",621466,2024,158,194,5,24.7,".177",".297",".325","0.622","0.120",".217","4",".290","71.5",19.2,11.4,24.7,"7.1","89.7","19.1",34.2,8.1,8.1,66.5,14.2,76.2,30
"Heyward, Jason",518792,2024,228,258,10,20.5,".211",".412",".288","0.700","0.201",".226","4",".300","73.2",27.3,11,21.4,"8.2","88","10.4",29.8,5.6,3.4,68.1,32.2,86.1,24
"Bruján, Vidal",660644,2024,248,278,2,19.4,".222",".319",".303","0.622","0.097",".276","4",".276","66.9",0.9,4.7,24.6,"7","85.1","8",29.7,1.5,4.1,73.9,28.3,82.5,24.4
"Kavadas, Niko",694359,2024,93,106,4,38.7,".183",".333",".283","0.616","0.150",".271","2",".278","70.5",9,11.5,23.1,"7","91.7","27.3",42.3,11.5,7.7,59.4,17.7,74.6,34.1
"Slater, Austin",596103,2023,185,207,5,28,".270",".400",".348","0.748","0.130",".369","2",".330","73.3",35.2,13.9,26.1,"7.1","91.1","7.5",34.6,11.8,4.7,63.8,22.2,77.9,29.8
"Bichette, Bo",666182,2024,311,336,4,19,".225",".322",".277","0.599","0.097",".269","3",".264","70.4",14.2,11.7,25.9,"7.3","89.2","7.2",31.3,4.4,7.2,76.3,37.1,88.6,22
"Nimmo, Brandon",607043,2023,592,682,24,21.4,".274",".466",".363","0.829","0.192",".324","11",".359","72.7",27.2,14.7,30.3,"7.2","91.8","12.2",33.5,9.5,6.4,62.3,19.9,84.3,22
"Myers, Dane",667472,2023,67,70,1,27.1,".269",".358",".286","0.644","0.089",".354","0",".278","71.8",20.5,17.9,28.2,"7.5","91.8","-1.8",28.6,2,10.2,63.4,30.8,76.7,25.2
"Nimmo, Brandon",607043,2024,571,663,23,23.8,".224",".399",".327","0.726","0.175",".267","12",".321","73.3",34.9,12.1,24.3,"7.3","91.9","11.2",33.7,9.1,6.5,65.6,24.1,84.4,23.4
"Palacios, Richie",680700,2023,93,102,6,10.8,".258",".516",".307","0.823","0.258",".234","1",".346","66.7",3.2,9,37.2,"6.8","88.1","6.3",29.8,7.1,10.7,66.8,22.2,87.4,15.1
"Urías, Luis",649966,2023,144,177,3,23.2,".194",".299",".337","0.636","0.105",".250","10",".298","67.9",3.2,7.6,24.7,"7.7","84.9","14.7",23.3,5.8,4.9,55.6,24.3,81.4,26.4
"Hicks, Aaron",543305,2023,269,312,8,22.1,".253",".383",".353","0.736","0.130",".311","0",".326","66.9",1.7,8,25.9,"7.2","85.3","12.6",26.4,4,3.5,61.2,20.9,80.5,25.6
"Blackmon, Charlie",453568,2023,359,413,8,13.3,".279",".440",".363","0.803","0.161",".307","11",".350","66.9",1.6,9,29,"7","86.4","18.1",39,4.9,5.2,65.8,28.5,86.7,19.6
"Barnes, Austin",605131,2023,178,200,2,21.5,".180",".242",".256","0.498","0.062",".222","2",".229","68.6",3.6,9.4,31.7,"6.5","84.8","6.1",28.3,2.9,5.1,64.5,19.8,81.2,22.2
"Tucker, Cole",657061,2024,50,57,0,29.8,".180",".300",".263","0.563","0.120",".265","0",".250","65.6",2.3,4.7,24.4,"6.8","90.2","7.7",35.3,0,11.8,65,22.5,82.9,27.2
"Maile, Luke",571912,2024,135,154,2,33.8,".178",".252",".268","0.520","0.074",".268","4",".241","67.7",1.3,3.9,20.3,"6.7","84.7","11.3",37.6,3.5,4.7,66.1,26,82.6,28.8
"Cabbage, Trey",663550,2023,53,56,1,46.4,".208",".321",".232","0.553","0.113",".370","0",".238","75.1",53.8,5,7.6,"7.8","86.7","4.6",28.6,7.1,0,87,46.1,60.9,51.4
"Peraza, Oswald",672724,2023,173,191,2,26.2,".191",".272",".267","0.539","0.081",".256","5",".246","71.8",20.2,7.6,21.8,"7.4","87.2","9.8",27.6,4.1,4.1,72.7,27.8,77.1,33.1
"Donovan, Brendan",680977,2024,587,652,14,12.4,".278",".417",".342","0.759","0.139",".300","13",".332","69.6",7.2,12,35.2,"6.9","88.7","13.2",36.6,5.5,6.5,63.7,23.7,90.7,15.1
"Voit III, Luke",572228,2023,68,74,0,36.5,".221",".265",".284","0.549","0.044",".366","2",".251",,,,,,"86.7","12.5",43.9,7.3,2.4,74.2,27.6,66.3,40.7
"Laureano, Ramón",657656,2023,361,404,9,28.2,".224",".371",".304","0.675","0.147",".301","9",".298","71.1",19.7,10.2,24.1,"6.8","88.2","12.9",34.7,9.7,4.4,66.1,27,83.5,29
"Pages, Andy",681624,2024,403,443,13,24.4,".248",".407",".305","0.712","0.159",".304","6",".310","73.1",27.7,10.6,21.1,"7.7","88.6","20.8",40.8,10.7,6.4,71,30.7,80.5,26.1
"Merrifield, Whit",593160,2024,293,335,4,15.5,".222",".314",".311","0.625","0.092",".257","3",".283","63.4",0.2,3.4,26.1,"6.9","84.1","12.9",34.3,2.4,3.3,66.2,25.8,87.8,18.7
"Vogelbach, Daniel",596129,2024,70,79,1,21.5,".186",".300",".278","0.578","0.114",".231","0",".262","72.5",20.5,20.5,37.2,"7.6","90.9","8.1",35.8,9.4,5.7,42.4,17.8,91.8,15.7
